年,月,日,気温,品質,均質
2006,1,1,3.6,8,1
2006,1,2,4.0,8,1
2006,1,3,3.7,8,1
2006,1,4,4.0,8,1
2006,1,5,3.6,8,1
2006,1,6,2.1,8,1
2006,1,7,2.8,8,1
2006,1,8,4.2,8,1
2006,1,9,3.7,8,1
2006,1,10,4.3,8,1
2006,1,11,6.1,8,1
2006,1,12,6.1,8,1
2006,1,13,4.0,8,1
2006,1,14,6.6,8,1
2006,1,15,10.7,8,1
2006,1,16,9.0,8,1
2006,1,17,8.0,8,1
2006,1,18,5.6,8,1
2006,1,19,4.2,8,1
2006,1,20,4.0,8,1
2006,1,21,1.3,8,1
2006,1,22,3.1,8,1
2006,1,23,2.5,8,1
2006,1,24,4.4,8,1
2006,1,25,5.5,8,1
2006,1,26,6.0,8,1
2006,1,27,6.8,8,1
2006,1,28,5.5,8,1
2006,1,29,6.0,8,1
2006,1,30,8.4,8,1
2006,1,31,7.1,8,1
2006,2,1,5.7,8,1
2006,2,2,7.8,8,1
2006,2,3,6.0,8,1
2006,2,4,1.6,8,1
2006,2,5,1.9,8,1
2006,2,6,2.0,8,1
2006,2,7,3.6,8,1
2006,2,8,7.9,8,1
2006,2,9,4.6,8,1
2006,2,10,5.6,8,1
2006,2,11,7.5,8,1
2006,2,12,4.6,8,1
2006,2,13,5.7,8,1
2006,2,14,10.5,8,1
2006,2,15,14.1,8,1
2006,2,16,7.5,8,1
2006,2,17,7.0,8,1
2006,2,18,4.4,8,1
2006,2,19,7.0,8,1
2006,2,20,6.4,8,1
2006,2,21,8.0,8,1
2006,2,22,10.8,8,1
2006,2,23,11.2,8,1
2006,2,24,6.5,8,1
2006,2,25,7.8,8,1
2006,2,26,7.5,8,1
2006,2,27,8.6,8,1
2006,2,28,4.6,8,1
2006,3,1,5.7,8,1
2006,3,2,8.2,8,1
2006,3,3,6.4,8,1
2006,3,4,6.7,8,1
2006,3,5,8.3,8,1
2006,3,6,11.8,8,1
2006,3,7,9.9,8,1
2006,3,8,12.3,8,1
2006,3,9,8.9,8,1
2006,3,10,8.0,8,1
